1,704,1
1,382,1
1,338,1
2,323,1
2,315,1
2,251,1
3,338,1
3,320,1
4,296,1
5,313,1
5,105,1
5,834,1
5,128,1
5,939,1
5,582,1
6,496,1
6,394,1
6,811,1
7,32,1
7,586,1
7,267,1
7,640,1
7,749,1
7,111,1
7,50,1
8,297,1
8,405,1
8,114,1
8,670,1
9,800,1
9,982,1
9,53,1
9,122,1
9,550,1
9,385,1
9,350,1
10,156,1
10,666,1
11,385,1
11,945,1
11,643,1
11,163,1
11,236,1
12,581,1
12,119,1
12,680,1
12,769,1
12,682,1
13,573,1
13,206,1
13,658,1
13,810,1
13,859,1
13,48,1
14,421,1
14,645,1
15,347,1
15,593,1
15,817,1
15,535,1
16,939,1
16,21,1
17,134,1
17,295,1
17,792,1
17,481,1
17,858,1
17,223,1
17,692,1
18,98,1
19,86,1
19,553,1
19,719,1
19,421,1
20,740,1
20,746,1
20,58,1
20,509,1
20,965,1
20,77,1
20,90,1
21,317,1
21,412,1
21,847,1
21,751,1
21,608,1
22,358,1
22,326,1
23,8,1
23,473,1
23,63,1
23,683,1
24,163,1
24,660,1
24,997,1
24,701,1
24,178,1
25,552,1
25,988,1
25,649,1
25,695,1
25,936,1
26,208,1
26,455,1
26,357,1
26,412,1
26,287,1
26,563,1
26,254,1
27,676,1
28,13,1
28,640,1
29,365,1
29,551,1
29,677,1
29,89,1
29,901,1
30,271,1
30,784,1
31,874,1
32,789,1
32,839,1
32,172,1
32,346,1
32,968,1
32,140,1
33,862,1
33,280,1
33,765,1
34,145,1
34,454,1
34,696,1
34,716,1
34,760,1
34,772,1
35,376,1
35,93,1
36,644,1
36,283,1
36,22,1
36,737,1
36,262,1
36,655,1
37,171,1
38,793,1
38,707,1
38,40,1
38,106,1
38,858,1
38,852,1
38,494,1
39,663,1
39,247,1
40,683,1
40,944,1
41,69,1
41,535,1
42,730,1
42,169,1
42,525,1
42,629,1
42,604,1
42,556,1
42,393,1
43,875,1
43,740,1
44,512,1
44,728,1
44,601,1
44,159,1
44,749,1
45,984,1
45,157,1
46,54,1
46,621,1
46,906,1
47,338,1
48,399,1
48,784,1
49,764,1
49,771,1
50,389,1
50,814,1
50,945,1
51,59,1
52,238,1
52,547,1
52,484,1
52,192,1
52,536,1
52,623,1
53,561,1
53,931,1
53,258,1
53,695,1
53,115,1
54,792,1
54,419,1
54,788,1
54,262,1
54,498,1
55,552,1
55,596,1
55,970,1
56,681,1
56,701,1
56,384,1
57,504,1
57,883,1
57,667,1
57,151,1
57,778,1
58,545,1
58,75,1
58,491,1
58,894,1
58,972,1
58,553,1
59,461,1
59,108,1
59,276,1
59,472,1
60,546,1
60,902,1
60,657,1
61,743,1
61,93,1
62,771,1
62,886,1
62,336,1
62,911,1
62,238,1
63,413,1
63,480,1
63,499,1
63,353,1
63,894,1
64,782,1
64,162,1
64,111,1
64,764,1
64,92,1
64,792,1
65,287,1
66,450,1
66,178,1
66,930,1
66,947,1
67,417,1
67,364,1
67,853,1
67,480,1
67,291,1
68,333,1
68,259,1
68,859,1
68,810,1
68,954,1
68,478,1
69,356,1
69,760,1
69,949,1
69,978,1
69,430,1
70,330,1
71,292,1
71,596,1
71,822,1
71,510,1
71,585,1
71,473,1
72,712,1
72,909,1
73,67,1
73,728,1
73,539,1
73,269,1
74,371,1
75,656,1
75,541,1
75,550,1
75,452,1
75,331,1
75,192,1
76,223,1
76,357,1
76,190,1
77,980,1
77,476,1
77,195,1
77,410,1
77,736,1
77,775,1
78,826,1
78,517,1
78,337,1
78,103,1
78,781,1
78,427,1
78,457,1
79,450,1
79,468,1
79,561,1
79,265,1
79,147,1
79,135,1
79,434,1
80,569,1
81,804,1
81,75,1
81,917,1
81,548,1
81,596,1
81,992,1
81,252,1
82,253,1
83,858,1
83,130,1
84,653,1
84,474,1
85,523,1
85,202,1
85,424,1
86,993,1
86,969,1
86,447,1
86,997,1
86,503,1
86,526,1
87,690,1
87,127,1
87,616,1
87,537,1
87,439,1
87,736,1
88,500,1
88,377,1
88,643,1
88,815,1
88,67,1
88,256,1
89,602,1
89,384,1
89,746,1
89,50,1
89,974,1
90,898,1
90,361,1
90,648,1
90,474,1
90,67,1
90,820,1
91,449,1
91,464,1
91,245,1
92,531,1
93,642,1
94,185,1
94,762,1
95,473,1
95,466,1
96,446,1
96,739,1
96,893,1
96,523,1
96,972,1
96,425,1
97,401,1
97,337,1
97,178,1
97,409,1
98,277,1
98,407,1
99,769,1
99,188,1
100,915,1
100,999,1
101,287,1
101,278,1
101,850,1
101,657,1
102,339,1
102,670,1
103,794,1
103,837,1
103,825,1
104,566,1
104,380,1
104,330,1
105,643,1
105,88,1
105,262,1
105,739,1
106,666,1
106,811,1
106,370,1
106,218,1
107,515,1
107,981,1
107,893,1
108,844,1
108,562,1
109,293,1
109,514,1
109,636,1
109,850,1
109,369,1
109,449,1
110,89,1
110,919,1
110,714,1
110,778,1
110,719,1
111,543,1
111,169,1
111,490,1
111,330,1
112,406,1
112,613,1
112,989,1
112,565,1
112,29,1
112,223,1
113,937,1
114,903,1
114,950,1
114,826,1
115,604,1
115,81,1
116,195,1
116,686,1
116,830,1
116,648,1
116,124,1
117,325,1
117,359,1
117,456,1
117,174,1
117,483,1
118,673,1
118,864,1
118,42,1
118,499,1
118,881,1
118,522,1
118,828,1
119,148,1
119,502,1
119,631,1
119,643,1
120,833,1
120,286,1
120,858,1
120,23,1
120,885,1
120,249,1
121,212,1
121,151,1
121,933,1
122,704,1
122,382,1
122,962,1
123,53,1
123,889,1
123,447,1
124,212,1
124,174,1
